line,station,pm25,longitude,latitude
Piccadilly,Hyde Park Corner,148,-0.152755197099349,51.5027590591033
Piccadilly,King's Cross St. Pancras,113,-0.12385439526953,51.5303929190998
Piccadilly,Knightsbridge,137,-0.160512531759267,51.5015500970268
Piccadilly,Leicester Square,148,-0.128230691068376,51.5112188594259
Piccadilly,Manor House,199,-0.0957134409300259,51.570756448879
Piccadilly,Northfields,48,-0.314158846805901,51.4992731734314
Piccadilly,Oakwood,46,-0.131841309901326,51.6475836070566
Piccadilly,Osterley,44,-0.351991301442545,51.4809270171043
Piccadilly,Piccadilly Circus,176,-0.134000809859946,51.5100248728504
Piccadilly,Russell Square,103,-0.124306144845132,51.5229093853494
Piccadilly,South Ealing,46,-0.307021763065057,51.5013644993235
Piccadilly,South Kensington,178,-0.173925894121211,51.4939991962878
Piccadilly,Southgate,49,-0.127757825906118,51.632321500959
Piccadilly,Turnham Green,50,-0.25452731041433,51.4951096367461
Piccadilly,Turnpike Lane,153,-0.102793234321325,51.5902948385447
Piccadilly,Wood Green,133,-0.109626845867099,51.5974731595812
Northern,Angel,193,-0.105788532350302,51.5324945942093
Northern,Archway,240,-0.13510973005784,51.5654271883667
Northern,Balham,215,-0.153211812735065,51.4433255098474
Northern,Bank,220,-0.0889155896595293,51.5133005871853
Northern,Belsize Park,283,-0.164238962111359,51.550428561586
Northern,Borough,288,-0.0937013980659852,51.5011935395731
Northern,Brent Cross,29,-0.213457894828736,51.5767985662539
Northern,Burnt Oak,6,-0.264195679711,51.6026843769673
Northern,Camden Town,291,-0.142720419513907,51.5394068482272
Northern,Chalk Farm,314,-0.153721202916802,51.5440857117156
Northern,Charing Cross,303,-0.124750139920854,51.5085913980902
Northern,Clapham Common,231,-0.138317826791002,51.4617315598849
Northern,Clapham North,307,-0.129524173398419,51.464846909054
Northern,Clapham South,203,-0.147986977595426,51.4526043627765
Northern,Colindale,20,-0.250140826813004,51.5952908759048
Northern,Colliers Wood,206,-0.177701339365584,51.4180709288918
Northern,East Finchley,59,-0.16473199284609,51.5872691532958
Northern,Edgware,5,-0.274972133018371,51.6136249185011
Northern,Elephant & Castle,318,-0.100727305415241,51.4957771029042
Northern,Embankment,316,-0.122355890226947,51.507240181685
Northern,Euston,280,-0.133285003609594,51.5285920006576
Northern,Finchley Central,25,-0.192452586621873,51.6009720508991
Northern,Golders Green,170,-0.193997380037755,51.5722203285718
Northern,Goodge Street,257,-0.134656944933485,51.5204216597774
Northern,Hampstead,229,-0.178225063069178,51.5566894617867
Northern,Hendon Central,29,-0.226497030317211,51.5832909652258
Northern,High Barnet,11,-0.194757923285552,51.6506000025443
Northern,Highgate,131,-0.14663380277329,51.5775966712063
Northern,Kennington,361,-0.10548199301905,51.4881203966608
Northern,Kentish Town,271,-0.140459169621519,51.5503058619045
Northern,King's Cross St. Pancras,251,-0.12385439526953,51.5303929190998
Northern,Leicester Square,287,-0.128230691068376,51.5112188594259
Northern,London Bridge,293,-0.0869220955940429,51.505498503653
Northern,Moorgate,197,-0.0890062924197783,51.5183648779609
Northern,Morden,68,-0.194788490440617,51.4023375492024
Northern,Mornington Crescent,265,-0.138837036281356,51.5342105994277
Northern,Old Street,186,-0.0875501730289688,51.5255981374316
Northern,Oval,359,-0.11288914971672,51.4821068964668
Northern,South Wimbledon,177,-0.191977735082396,51.4152795220347
Northern,Stockwell,293,-0.122903492778503,51.472168973557
Northern,Tooting Bec,234,-0.159703741135139,51.4357569309249
Northern,Tooting Broadway,284,-0.167978669413549,51.4274335225624
Northern,Tottenham Court Road,239,-0.130865576538891,51.5162067643653
Northern,Totteridge & Whetstone,15,-0.179254619782899,51.6302089225771
Northern,Tufnell Park,252,-0.137920410550969,51.5566682233373
Northern,Warren Street,251,-0.138266856304429,51.5245076509584
Northern,Waterloo,299,-0.11406591406559,51.5035011566721
Northern,West Finchley,17,-0.188474801163776,51.6094894046769
Northern,Woodside Park,15,-0.185427653189399,51.6178141866319
Circle,Aldgate,40,-0.0756155393583119,51.5142701385097
Circle,Baker Street,50,-0.156907095550195,51.5230574801318
Circle,Barbican,18,-0.0977101689484825,51.5201430089585
Circle,Bayswater,3,-0.188040963571428,51.5122300468288
Circle,Blackfriars,34,-0.103604742817189,51.5114887137154
Circle,Cannon Street,57,-0.0906943496103875,51.5114321259199
Circle,Edgware Road Circle,10,-0.167671498643532,51.5199168978625
Circle,Embankment,61,-0.122355890226947,51.507240181685
Circle,Euston Square,42,-0.135831007651795,51.5255570566441
Circle,Farringdon,45,-0.105063463561319,51.5204418869053
Circle,Gloucester Road,5,-0.182992073518021,51.4942389349944
Circle,Goldhawk Road,2,-0.226746142348371,51.5019497586583
Circle,Great Portland Street,91,-0.143949941020566,51.5237164493735
Circle,Hammersmith,3,-0.222399662053271,51.4925677962556
Circle,High Street Kensington,4,-0.192504848328664,51.5006716750452
Circle,King's Cross St. Pancras,60,-0.12385439526953,51.5303929190998
Circle,Ladbroke Grove,2,-0.210862187601604,51.5171845005915
Circle,Latimer Road,2,-0.217778623910018,51.5135399563404
Circle,Liverpool Street,17,-0.0829663422507892,51.5173490726454
Circle,Mansion House,25,-0.0941862553677917,51.5120194809428
Circle,Monument,46,-0.0889425138013583,51.5133459887229
Circle,Moorgate,8,-0.0890062924197783,51.5183648779609
Circle,Notting Hill Gate,3,-0.196539274263939,51.5090607970822
Circle,Paddington,6,-0.175394293305568,51.515307249534
Circle,Royal Oak,4,-0.188233000226284,51.5190133201388
Circle,Shepherd's Bush Market,2,-0.226303470689641,51.5055580192115
Circle,Sloane Square,33,-0.156491756080546,51.4922876241935
Circle,South Kensington,18,-0.173925894121211,51.4939991962878
Circle,St. James's Park,53,-0.134177732422094,51.4993445670645
Circle,Temple,14,-0.113699915185203,51.5109680760482
Circle,Tower Hill,59,-0.0763547925529849,51.5100647442361
Circle,Victoria,42,-0.143852003214913,51.4963417077255
Circle,Westbourne Park,3,-0.200885345927106,51.5209166272001
Circle,Westminster,89,-0.124813404822685,51.5010836418734
Circle,Wood Lane,2,-0.224200029153065,51.5097999952518
Jubilee,Baker Street,174,-0.156907095550195,51.5230574801318
Jubilee,Bermondsey,231,-0.0636534173129055,51.4979495145634
Jubilee,Bond Street,245,-0.149339587317781,51.5138019597401
Jubilee,Canada Water,240,-0.0497096588014363,51.4978893064884
